p1,p2,p3
591,1407,2810
2809,591,2810
591,2809,2808
355,591,2808
2383,567,100
1097,2383,100
2383,1097,1176
336,522,1453
2390,343,2122
712,1577,285
1577,712,1453
270,348,290
348,270,1477
348,718,290
450,1908,1820
1908,450,664
112,1908,664
713,629,1444
713,348,1477
348,713,1444
1164,713,664
713,112,664
713,1164,1196
629,713,1196
2016,1379,1820
1379,892,1820
506,2274,680
917,1315,342
2008,1315,917
810,2460,342
1315,810,342
810,108,605
108,810,506
1205,1982,605
1982,810,605
580,1953,2281
580,107,1953
53,671,1920
671,53,1624
2090,586,2144
282,306,2064
306,282,762
1127,306,762
1256,1524,1209
1256,1127,1524
1256,1103,1127
2358,2088,911
187,1023,794
1023,187,2441
2049,187,552
187,2049,2441
2456,2403,115
1899,1892,170
116,177,21
177,116,2236
2044,268,2240
2044,2240,328
2126,2044,328
2044,2126,2236
2044,1899,268
1415,772,2412
2100,1100,525
144,2100,525
1730,460,1171
460,1486,1171
1486,460,2379
2379,460,1025
981,535,118
981,1542,535
981,118,555
1590,981,555
